"","Active Cases","Deaths","Recoveries","Inactives removed"
"29/03","472,696","5,928","311,270","3,406,157"
"30/03","480,986","5,962","311,270","3,464,884"
"31/03","483,622","5,994","311,270","3,525,901"
"01/04","495,842","6,341","311,270","3,574,282"
"02/04","500,094","6,367","311,270","3,625,740"
"03/04","503,939","6,384","311,270","3,670,585"
"04/04","499,717","6,398","311,270","3,722,217"
"05/04","486,692","6,435","311,270","3,793,396"
"06/04","480,958","6,462","311,270","3,860,234"
"07/04","484,430","6,495","311,270","3,918,366"
"08/04","487,626","6,526","311,270","3,975,072"
"09/04","485,590","6,550","311,270","4,027,629"
"10/04","485,593","6,564","311,270","4,074,139"
"11/04","476,465","6,569","311,270","4,126,457"
"12/04","454,943","6,609","311,270","4,193,604"
"13/04","443,901","6,648","311,270","4,257,195"
"14/04","434,180","6,693","311,270","4,321,221"
"15/04","426,859","6,727","311,270","4,378,016"
"16/04","418,083","6,762","311,270","4,429,753"
"17/04","409,291","6,779","311,270","4,472,899"
"18/04","397,971","6,789","311,270","4,525,188"
"19/04","377,649","6,807","311,270","4,582,074"
"20/04","371,209","6,843","311,270","4,630,812"
"21/04","370,971","6,893","311,270","4,685,292"
"22/04","372,165","6,939","311,270","4,734,246"
"23/04","373,441","6,983","311,270","4,775,766"
"24/04","369,166","7,004","311,270","4,817,119"
"25/04","361,288","7,021","311,270","4,856,230"
"26/04","346,432","7,069","311,270","4,906,383"
"27/04","335,685","7,115","311,270","4,959,937"
"28/04","331,132","7,163","311,270","5,009,890"
"29/04","328,114","7,189","311,270","5,057,817"
"30/04","329,836","7,242","311,270","5,094,007"
"01/05","328,923","7,257","311,270","5,128,115"
"02/05","326,365","7,270","311,270","5,162,409"
"03/05","322,752","7,311","311,270","5,201,152"
"04/05","316,130","7,367","311,270","5,434,270"
"05/05","323,246","7,423","311,270","5,481,021"
"06/05","326,730","7,453","311,270","5,519,646"
"07/05","331,495","7,497","311,270","5,557,249"
"08/05","335,604","7,516","311,270","5,588,701"
"09/05","338,899","7,516","311,270","5,624,681"
"10/05","343,959","7,565","311,270","5,665,712"
"11/05","349,743","7,615","311,270","5,716,137"
"12/05","360,803","7,669","311,270","5,762,806"
"13/05","371,999","7,721","311,270","5,806,556"
"14/05","380,691","7,774","311,270","5,846,228"
"15/05","386,161","7,795","311,270","5,882,916"
"16/05","387,891","7,808","311,270","5,924,382"
"17/05","382,072","7,873","311,270","5,981,318"
"18/05","381,162","7,926","311,270","6,052,364"
"19/05","378,599","7,976","311,270","6,109,879"
"20/05","378,140","8,027","311,270","6,160,410"
"21/05","379,536","8,073","311,270","6,206,205"
"22/05","377,354","8,093","311,270","6,247,035"
"23/05","366,504","8,110","311,270","6,293,919"
"24/05","351,063","8,178","311,270","6,350,343"
"25/05","341,007","8,266","311,270","6,405,745"
"26/05","333,194","8,335","311,270","6,459,861"
"27/05","315,886","8,374","311,270","6,516,457"
"28/05","313,818","8,432","311,270","6,552,175"
"29/05","304,139","8,462","311,270","6,589,173"
"30/05","292,229","8,468","311,270","6,628,319"
"31/05","276,907","8,521","311,270","6,675,349"
"01/06","266,570","8,556","311,270","6,721,387"
"02/06","258,856","8,613","311,270","6,763,237"
"03/06","254,162","8,662","311,270","6,799,837"
"04/06","248,219","8,722","311,270","6,834,460"
"05/06","243,862","8,752","311,270","6,862,226"
"06/06","235,574","8,771","311,270","6,887,744"
"07/06","228,100","8,802","311,270","6,924,496"
"08/06","219,093","8,860","311,270","6,965,610"
"09/06","224,574","8,919","311,270","6,993,249"
