day,S,I,D,T1,T2,H,E,alpha,beta,gamma,delta1,delta2,epsi,sigma1,sigma2,tau1,tau2,lambda
14-Jan-2021,0.921122604143243,0.00937445969362821,0.00823001777581774,0.000424116124336153,4.21372395198335e-05,0.0598727567306719,0.000933908292790017,0.0549451435237714,0.00480412229418134,0.028546344069712,0.00165720078122772,0.000132790621127927,0.000492283329881294,0.0288969394953874,0.0257975243679826,0.00799597880460305,0.00799806065030581,0.0366129339542848
15-Jan-2021,0.920614501636742,0.00927497550259277,0.00818108191512341,0.000421900259773728,4.20131441056647e-05,0.0605279003634488,0.000937627178219881,0.0527291805406753,0.00470082048103048,0.0282794149645144,0.00165737038686755,0.000132973943654326,0.000489989402112367,0.0288834569431395,0.025803512070494,0.00799595249808279,0.00799805369907021,0.0368826751749382
16-Jan-2021,0.920131973767075,0.00915697902894814,0.00812636779350305,0.000419689297801728,4.1885609217933e-05,0.0611817771488821,0.000941327354577427,0.0510580289775147,0.00461770565763661,0.028031802516732,0.00165763388678238,0.000133181765998545,0.000486284314972086,0.0288688860530085,0.025809475211933,0.00799592380618762,0.00799804507781427,0.0371355655368498
17-Jan-2021,0.919670579077746,0.0090259182444347,0.00806605258659683,0.000417475469796111,4.17536111600896e-05,0.0618332122132317,0.000945008797035309,0.0501001778372914,0.0045665215456578,0.0278097557766611,0.00165798979551293,0.000133430972658597,0.000477839502646015,0.028853240939785,0.0258153939678291,0.007995891869405,0.00799803433007971,0.0373657445380447
18-Jan-2021,0.919224249063445,0.00888847024033177,0.00800057903863267,0.000415253101844753,4.16149707538537e-05,0.0624811621714168,0.000948671413563198,0.0497097493817122,0.00454274039953336,0.0276185060768659,0.00165843645536423,0.000133735694401804,0.000446753364048184,0.0288365372076788,0.0258212515478079,0.00799585606050474,0.00799802118064102,0.0375681842815313
19-Jan-2021,0.918788114349211,0.00874972902624586,0.00793061209837509,0.000413024835402965,4.14604954471566e-05,0.0631247441412225,0.000952315054055919,0.0496275965500824,0.00453442122333989,0.0274621781219053,0.00165897201236239,0.00013410746168815,0.000368640678942076,0.0288187923615685,0.0258270340469237,0.0079958158912521,0.00799800546389895,0.0377388001987625
20-Jan-2021,0.918359504275108,0.00861233907640675,0.00785694838589691,0.000410804074599841,4.12717463770039e-05,0.0637631929197897,0.000955939521761822,0.0500364466874331,0.00455096358741772,0.0273438272142839,0.00165959439203729,0.000134555566696825,0.000258311206764093,0.0288000262074804,0.0258327300847308,0.00799577094855552,0.00799798710690252,0.0378744497135839
21-Jan-2021,0.91793421780721,0.00848026159333345,0.00778047310280358,0.000408598782416735,4.10373394514892e-05,0.0643958667888448,0.000959544585877633,0.0507284107188921,0.00458168541579994,0.0272655789255501,0.00166030127014701,0.000135087607061043,0.00014717778133664,0.0287802613117723,0.0258383302447522,0.0079957208959295,0.0079979661669917,0.0379728374526538
22-Jan-2021,0.917509783036701,0.00835553579510624,0.00770212912280712,0.000406405299856367,4.07592222425477e-05,0.0650222575283068,0.000963129994932541,0.0510359062999508,0.00459375584730044,0.0272288253432631,0.00166109004517057,0.000135710235838362,6.52373846597028e-05,0.0287595234703382,0.0258438262453796,0.0079956655128259,0.00799794283008407,0.0380323621761485
23-Jan-2021,0.917089160787461,0.00823481431338643,0.00762280310647571,0.000404209614025235,4.04513843263597e-05,0.0656418653037096,0.000966695490593641,0.0508830074488341,0.00458363101907398,0.0272343949170856,0.00166195783300365,0.000136430024082585,2.79562856221504e-05,0.0287378419479695,0.0258492099310324,0.00799560462665707,0.00799791725688716,0.0380519644344562
24-Jan-2021,0.91667592330802,0.0081143717516878,0.0075432427885164,0.000401993558199642,4.01334252301584e-05,0.0662540943479612,0.000970240820377881,0.050796078467798,0.00457667615220011,0.0272826438726009,0.00166290148928973,0.000137254034470552,1.72081988599452e-05,0.0287152493972734,0.0258544725642492,0.00799553796047257,0.00799788940187089,0.0380310295412477
25-Jan-2021,0.916269491062971,0.00799474076763311,0.00746410778896425,0.00039974811375975,3.98169799305534e-05,0.0668583295386443,0.000973765748095693,0.0509976084984343,0.00458378027343033,0.0273734878632265,0.00166391764114102,0.000138189832266218,1.30739795649649e-05,0.0286917816411227,0.0258596047774917,0.00799546504562711,0.00799785898253738,0.0379693543332168
26-Jan-2021,0.91586755101661,0.00787810158202451,0.00738604507503701,0.000397473554142606,3.95054347957159e-05,0.0674540532748321,0.000977270062558283,0.0515116986681192,0.00460602306741266,0.0275064320951263,0.00166500271050552,0.000139245088797757,1.0698063626515e-05,0.0286674775144229,0.0258645970321504,0.00799538524723434,0.00799782556540713,0.037867128211864
27-Jan-2021,0.915467603391961,0.00776668001546122,0.00730970714762575,0.000395173074900486,3.92002483163458e-05,0.0680408825361186,0.000980753585616673,0.0523099292377493,0.00464163343572426,0.0276806342244701,0.00166615292440786,0.000140427043663484,9.1517625087766e-06,0.0286423788293755,0.0258694402679231,0.00799529789063114,0.00799778867821,0.0377248864036946
28-Jan-2021,0.91506735925882,0.00766235927451445,0.00723574543816249,0.000392851133426727,3.89025781710021e-05,0.0686185661369365,0.000984216179970023,0.0529849077665184,0.00467112642064883,0.0278950145197104,0.0016673643198697,0.000141741979451326,8.10852108342683e-06,0.0286165303762226,0.0258741265489165,0.00799520244585183,0.0079977479253194,0.0375434157735206
29-Jan-2021,0.914667552039807,0.00756397914496845,0.00716476411044176,0.000390513136815527,3.8613524247227e-05,0.0691869202870301,0.000987657756690893,0.0532632712732762,0.00468209814715217,0.0281483792705933,0.00166863276229435,0.000143194813710079,7.39488602395437e-06,0.0285899797327345,0.025878649576242,0.00799509863194597,0.0079977030558495,0.0373236360134416
30-Jan-2021,0.914270925918093,0.00746850787351328,0.00709725597788445,0.000388165215053706,3.83341742431705e-05,0.0697457325594007,0.000991078281811443,0.0531668972189015,0.00467562548115628,0.0284395076826753,0.00166995398576877,0.000144788874564542,6.91014663896913e-06,0.028562776776875,0.0258830049823139,0.00799498635695206,0.00799765392827403,0.0370665028996943
31-Jan-2021,0.913880090126117,0.00737323827068405,0.00703358604874499,0.000385813965465872,3.80656086902215e-05,0.0702947281992001,0.000994477781096976,0.0529934851693807,0.00466516971969085,0.0287671776936707,0.0016713236460283,0.000146525807939168,6.59256617002701e-06,0.0285349730168454,0.0258871904652423,0.00799486554696639,0.00799760043395545,0.0367729676643055
01-Feb-2021,0.913495546079766,0.00727767741060924,0.00697403171233261,0.000383466240956398,3.7808893764222e-05,0.0708336133197678,0.000997856342803285,0.0529930553148253,0.00466225285115409,0.029130137662443,0.00167273736641558,0.000148405583620555,6.40267294696159e-06,0.0285066209865117,0.0258912058003625,0.00799473598468805,0.00799754242994673,0.0364439968572177
02-Feb-2021,0.91311603048943,0.00718307410151869,0.00691884212797015,0.000381129043463415,3.75650759071242e-05,0.0713621450426852,0.00100121411902412,0.053319685087414,0.00467407878336447,0.0295270469854522,0.00167419076183128,0.000150426568688907,6.3098760636824e-06,0.0284777738997366,0.0258950527662925,0.00799459725531948,0.00799747975096274,0.0360806333259474
03-Feb-2021,0.912739194012093,0.0070916512042303,0.00686827984425277,0.000378809510481482,3.73351798309211e-05,0.0718801789225754,0.001004551326534,0.0542113514147449,0.00471125361777608,0.0299564213059014,0.00167567943867813,0.000152585722401951,6.2835181502901e-06,0.0284484855911822,0.0258987349189401,0.00799444878971501,0.00799741227193594,0.0356840602909369
04-Feb-2021,0.912361030932034,0.00700709556908556,0.0068226592597907,0.000376514966245915,3.71202107183161e-05,0.0723877108143145,0.00100786824780766,0.0556241516084495,0.00477054202560187,0.0304166219055863,0.00167719897885924,0.000154878965904647,6.28493980391661e-06,0.0284188106408094,0.0259022571473206,0.00799428992710917,0.00799733997709554,0.035255628140929
